ID,Policy,Source,Category (Safe/Dark)
1,"Upon creation of a MovieStarPlanet account we ask you to provide us with the following personal information: A username Month and year of birthLater we may ask you to provide us with the following additional information: An e-mail address Parent's / guardian's email addressIn addition, if you sign up to make purchases of certain MovieStarPlanet products or services, we ask you to provide your credit card numberFinally, like almost all websites, we receive and store certain types of information whenever you visit the Website. In addition to information you provide, we may collect the name of the domain and host from which you access the Internet; the IP address of the computer you are using; the browser and operating system you are using; the date and time you access the Website; and the Internet address of the website from which you linked to this Website (including any search terms you may have used to find MovieStarPlanet through a search engine such as Google).",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
2,"Unless you are under the age of 13 (See Children Under the Age of 13, below), we collect any information you voluntarily choose to include on your Profile page and in other online activity, such as chat rooms and movies you create. Revealing such personally identifiable information is against the MovieStarPlanet Rules, and you should not do this. Any personally identifiable information you reveal in your online activities will be available to others who may access this content (See Disclosing Your Personally Identifiable Information).",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
3,"As true of most Websites, we gather certain information automatically and store it in log files. This information may include internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and/or clickstream data. We do not link this automatically-collected data to other information we collect about you.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
4,"Technologies such as: cookies, beacons, tags, and scripts are used by MovieStarPlanet and our partners, affiliates, analytics or service providers. ADTECH technology (see below) is used for this purpose. These analytical tools are used for marketing and internal analytical purposes only to provide better customer support services. We do not collect or store personal information in relation to this data collection These technologies are used in improving and personalizing your experience at our website, personalize your experience and analyze certain metrics, tell us how many visitors we have on the site, and which parts of the site are most popular, and tracking users' movements around the site and to gather demographic information about our user base as a whole. We may receive reports based on the use of these technologies by these companies on an individual as well as aggregated basis.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
5,"We use Local Shared Objects, such as Flash cookies, to store content information and preferences.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Safe
6,"We are using ADTECH technology, a service provided by ADTECH AG, for ad delivery. We and ADTECH use cookies (text files placed on your computer) to help with collecting information about your visits to this and other websites which may be used in order to provide advertisements about goods and services of interest to you. The information stored in the cookie is used to reference information for standard reporting purposes such as delivered advertising campaigns or banners on websites that are using ADTECH as their ad serving system. Cookie and IP address information of a request to the ADTECH ad serving system is always transferred to the responding data centers in the United States or within the European Union, but only the cookie information of the requested ad domain is stored within the standard records. IP address information is obfuscated after being used to identify attributes associated with the IP address such as location (country, city) or bandwidth. The obfuscating of the IP address leads to anonymization of the data. Upon specific request of a customer, ADTECH provides a special functionality to store IP address information to identify fraudulent activities such as automated click generation systems. You have the option not to participate in ADTECH's analysis by opting out of the use of ADTECH cookies, by selecting the appropriate setting on your browser or setting an ADTECH opt-out cookie provided on the following page http://privacy.aol.com/privacy-policy/. Further information about ADTECH's technology is available under http://www.adtech.com. By using this website you consent to the processing of data about you by ADTECH as described herein.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
7,"We use mobile analytics software to allow us to better understand the functionality of our Mobile Software on your phone. This software may record information such as how often you use the application, the events that occur within the application, aggregated usage, performance data, and where the application was downloaded from. We do not link the information we store within the analytics software to any personally identifiable information you submit within the mobile application.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
8,"When you download and use our Services, we automatically collect information on the type of device you use, operating system version, and the device identifier (or ""UDID"").",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
9,"We do not ask for, access or track any location based information from your mobile device at any time while downloading or using our Mobile Apps or Services.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
10,"At the present time we are not send push notifications to users. We may change this policy in the future. If the policy is changed and we do decide to send you push notifications, in order to update you about any events or promotions, parental permission will be asked for before delivering this service.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
11,"We partner with a third party to either display advertising on our Web site or to manage advertising on other sites. Our third party partner may use technologies such as cookies to gather information about your activities on this site and other sites in order to provide you advertising based upon your browsing activities and interests. If you wish to not have this information used for the purpose of serving you interest-based ads, you may opt-out by clicking here. Please note this does not opt you out of being served ads. You will continue to receive generic ads.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
12,"MovieStarPlanet is a movie themed online game and social network aimed at children aged between 8 and 15 years. The only personal information we collect from children, under 13, is their email address (to reset their password) and their parents' email address to notify their parents that they have joined the site. This email also advises parents that there is the possibility to use chat rooms and forums chat with their friends. We employ trained moderators and ""approved lists"" that are designed to screen the participation of users under 13 and prevent their disclosure of personally identifiable information in interactive areas of the Website, such as chat rooms. Sanctions may be applied to any user that attempts to share or collect personal information.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
